country,state,sqft,bhk,area_type,population,age,price
India,Gujarat,1251,3,Poor,28965,31,10099539
India,Maharashtra,1800,3,Rich,19449,0,153128029
India,Delhi,2461,3,Medium,13342,38,75492897
India,Kerala,2201,2,Medium,48190,27,31600653
India,Gujarat,3379,1,Rich,46368,2,66335683
India,Punjab,627,1,Poor,20694,36,2525930
India,Maharashtra,2443,3,Poor,13175,3,94834273
India,Telangana,1122,2,Rich,7150,9,26524304
India,Gujarat,4542,5,Rich,42874,35,126154391
India,Delhi,2220,5,Medium,23419,10,117571821
India,Delhi,4866,4,Poor,15596,36,119508693
India,Rajasthan,3877,4,Medium,30975,16,55284390
India,Uttar Pradesh,4523,1,Poor,29529,16,19712881
India,Uttar Pradesh,536,1,Medium,24752,21,3236265
India,Tamil Nadu,741,5,Medium,12372,33,11393645
India,Punjab,2475,5,Medium,27665,35,32191454
India,Delhi,4983,5,Rich,41809,21,398812477
India,Rajasthan,945,3,Poor,5263,33,4801716
India,Rajasthan,754,2,Rich,12664,25,8554679
India,Kerala,4525,4,Medium,39709,0,93451065
India,Tamil Nadu,4424,5,Poor,25063,35,57955026
India,Gujarat,1633,2,Poor,24150,23,14061906
India,West Bengal,2085,4,Rich,9942,19,37702646
India,Tamil Nadu,4220,3,Poor,46420,33,45383019
India,Delhi,2420,1,Rich,36111,16,109423920
India,Punjab,4420,3,Medium,46186,36,42357240
India,Karnataka,4497,2,Medium,24051,18,96690890
India,Punjab,3304,1,Poor,37408,11,20413328
India,Uttar Pradesh,4362,5,Poor,12344,22,32514597
India,Telangana,4026,3,Rich,26064,25,100773107
India,Kerala,700,2,Poor,20541,6,5938686
India,West Bengal,4532,3,Poor,16023,7,43416231
India,Gujarat,3594,4,Rich,26510,34,70992736
India,Kerala,1482,3,Poor,36435,33,13658267
India,Punjab,4578,4,Medium,41998,14,75303000
India,Tamil Nadu,1220,5,Rich,28345,32,36270420
India,Kerala,3821,3,Medium,1545,29,35201530
India,Delhi,1113,4,Poor,46084,28,35919590
India,Haryana,571,4,Rich,11616,9,15644617
India,Gujarat,2924,1,Rich,3050,13,34148148
India,Delhi,4688,1,Medium,26280,14,131509397
India,Maharashtra,1263,4,Rich,44194,36,103975208
India,Punjab,1106,3,Medium,30757,12,14447720
India,Gujarat,1184,3,Poor,37332,9,12809035
India,Rajasthan,1236,1,Medium,44513,2,13505457
India,West Bengal,353,1,Rich,47600,34,4372546
India,Maharashtra,2214,2,Rich,19850,17,139598757
India,Uttar Pradesh,4555,3,Poor,8287,24,22789578
India,West Bengal,1590,1,Medium,47007,2,18367846
India,Rajasthan,1655,2,Poor,30192,14,11826564
India,West Bengal,1254,2,Poor,26559,14,8828560
India,Punjab,1213,5,Rich,10903,12,27736033
India,Maharashtra,3411,5,Medium,48327,28,258494347
India,Karnataka,4230,5,Medium,35080,5,176735937
India,Uttar Pradesh,2004,5,Rich,34130,24,39724184
India,Tamil Nadu,4038,4,Poor,23534,4,69263730
India,Kerala,4821,2,Rich,3719,29,73605920
India,Delhi,888,5,Medium,27123,38,38212358
India,Punjab,2364,2,Rich,13987,23,31692337
India,Telangana,3826,2,Poor,22736,31,40949029
India,Haryana,1545,5,Poor,6084,21,21222097
India,Tamil Nadu,1340,4,Medium,9073,0,24557901
India,Uttar Pradesh,2653,5,Poor,22195,35,18839605
India,Tamil Nadu,2807,5,Rich,45064,5,117313082
India,Karnataka,4965,2,Poor,12745,33,62035836
India,Maharashtra,338,5,Poor,11396,10,13064308
India,Delhi,3455,3,Poor,23042,2,125352182
India,Haryana,4416,5,Rich,29602,19,158930277
India,Rajasthan,4965,4,Rich,20982,33,68896363
India,Maharashtra,1091,4,Rich,27385,14,93275393
India,Punjab,1284,1,Medium,37444,7,13035854
India,Delhi,4744,4,Poor,42652,23,178606568
India,Karnataka,826,1,Medium,48837,13,17549982
India,Haryana,1316,4,Rich,6109,1,43142115
India,Punjab,3068,5,Rich,27589,17,74504633
India,Telangana,1028,1,Poor,21581,40,7206249
India,Telangana,1876,1,Poor,40499,31,15125812
India,Telangana,3020,2,Medium,10127,31,42215889
India,Maharashtra,3148,1,Medium,46004,29,98447902
India,Tamil Nadu,1217,2,Medium,16525,38,12287382
India,Kerala,4538,2,Medium,1105,39,38008351
India,Karnataka,2225,1,Poor,40685,8,30720344
India,Rajasthan,1015,2,Medium,4389,19,7799127
India,Punjab,2354,3,Poor,47163,15,22277107
India,Kerala,709,3,Medium,22288,13,8898116
India,Telangana,3895,5,Poor,2560,18,69455927
India,Tamil Nadu,2227,5,Rich,45662,31,69731497
India,Delhi,961,5,Medium,49479,40,51736030
India,Haryana,1054,3,Medium,46500,28,18454757
India,Maharashtra,4188,5,Poor,1956,23,139123035
India,Tamil Nadu,1255,2,Medium,16282,31,13686133
India,Kerala,4111,2,Rich,27958,33,67357348
India,Gujarat,1694,2,Medium,43229,11,23995591
India,Delhi,3258,1,Rich,28490,25,132880451
India,Gujarat,1239,2,Medium,34142,36,14416528
India,Rajasthan,1825,4,Medium,30052,13,24138094
India,Rajasthan,4114,1,Medium,27616,27,26597038
India,West Bengal,2346,1,Rich,22927,11,27484231
India,Gujarat,3766,2,Poor,45738,13,37584024
India,Kerala,3732,1,Medium,7276,19,31939454
India,Haryana,2660,4,Rich,43267,36,71961168
India,Haryana,2652,1,Rich,10847,27,40234564
India,Telangana,1256,4,Poor,21337,13,18901422
India,West Bengal,3144,1,Medium,40030,34,23930171
India,West Bengal,1308,3,Poor,34997,11,11261186
India,West Bengal,1539,3,Medium,49938,33,17451204
India,Rajasthan,3549,4,Poor,14605,19,26708956
India,Tamil Nadu,3093,4,Medium,5470,7,60298027
India,Maharashtra,2099,5,Poor,41287,37,93608650
India,Telangana,4173,1,Poor,48414,25,43133909
India,Delhi,4019,1,Medium,30259,26,115352726
India,Tamil Nadu,3372,3,Rich,14598,15,79043359
India,West Bengal,3973,4,Rich,5033,5,78026557
India,Maharashtra,2932,5,Rich,20614,40,205375800
India,Delhi,3473,4,Rich,27213,18,271839748
India,Delhi,1300,3,Rich,18772,10,72722542
India,Telangana,1924,5,Poor,4726,0,37361577
India,Gujarat,1216,3,Poor,36643,28,11655599
India,Maharashtra,3638,3,Rich,12207,13,235105016
India,Rajasthan,4165,2,Poor,44461,27,26092493
India,Kerala,311,5,Rich,17353,36,6518474
India,Tamil Nadu,342,2,Poor,27987,20,2983475
India,Gujarat,3488,4,Poor,40310,24,42911354
India,Karnataka,4719,5,Poor,38650,33,95746190
India,Tamil Nadu,3935,3,Rich,43652,27,98443808
India,Kerala,1981,2,Medium,45976,12,28645193
India,Rajasthan,3830,4,Medium,49713,38,46748363
India,Gujarat,2659,1,Poor,25489,35,14492961
India,Telangana,2145,1,Poor,22675,12,21312375
India,Telangana,1543,1,Rich,38384,14,37127044
India,Kerala,1960,2,Rich,7295,15,32157266
India,Punjab,4445,3,Rich,37451,38,68953605
India,Delhi,3340,2,Poor,27160,34,74016372
India,Maharashtra,961,5,Poor,17014,34,33768548
India,Punjab,1268,5,Medium,40420,24,22407184
India,Karnataka,4029,3,Poor,33117,38,62766070
India,Punjab,3651,4,Poor,39467,25,33890108
India,Gujarat,4431,5,Rich,46408,35,115054624
India,Uttar Pradesh,2214,1,Rich,7704,1,22366583
India,Haryana,4555,5,Poor,35503,2,98635140
India,Kerala,641,2,Poor,20201,37,4399515
India,Delhi,4511,4,Poor,31137,35,139822907
India,Rajasthan,507,2,Poor,24197,15,3017714
India,Haryana,1979,5,Poor,8446,27,27977540
India,Telangana,4243,4,Rich,19752,29,133906734
India,Telangana,4851,1,Medium,12023,11,65100186
India,Delhi,4025,4,Rich,6782,1,291812782
India,Delhi,2796,3,Poor,39067,22,85857273
India,Delhi,561,3,Poor,25981,14,17498259
India,West Bengal,4407,1,Medium,13329,37,29149532
India,Karnataka,3587,2,Medium,8629,5,71615978
India,Gujarat,372,5,Medium,25226,1,8194758
India,Karnataka,4661,1,Medium,9984,32,62269702
India,Maharashtra,537,5,Medium,49563,2,55180848
India,Telangana,2829,5,Rich,40905,3,150858651
India,Tamil Nadu,4523,4,Rich,12916,30,94251372
India,Delhi,2794,5,Rich,13330,1,264656085
India,Karnataka,2253,2,Poor,40256,1,47631568
India,Delhi,2250,1,Rich,38846,18,98666507
India,West Bengal,1479,3,Rich,7406,15,24246372
India,Maharashtra,2448,4,Poor,42779,28,101545130
India,Haryana,3602,2,Medium,16422,36,43912695
India,Karnataka,2439,5,Poor,39908,21,65777822
India,Gujarat,2593,5,Medium,24177,22,42329595
India,Gujarat,3384,5,Rich,25817,20,85075823
India,West Bengal,971,4,Rich,42424,34,18602077
India,Punjab,2655,5,Poor,25345,3,38211359
India,Haryana,4104,4,Medium,31620,37,68499221
India,Kerala,2972,1,Rich,31911,16,47567107
India,Rajasthan,871,5,Rich,43080,9,26419287
India,Haryana,1014,2,Rich,29602,21,22144778
India,Maharashtra,1155,5,Poor,32186,4,70526864
India,Maharashtra,2448,5,Poor,29758,0,128093878
India,Uttar Pradesh,3011,1,Poor,19052,19,13247403
India,Kerala,665,4,Poor,10866,14,7549723
India,Karnataka,3862,2,Poor,30956,4,78921373
India,Uttar Pradesh,1873,4,Medium,24888,30,17081675
India,Uttar Pradesh,2676,2,Rich,32182,2,38133636
India,Tamil Nadu,1940,1,Medium,13504,9,22999271
India,Haryana,1069,5,Poor,43676,31,17062459
India,Haryana,822,2,Medium,46838,16,15920733
India,Gujarat,4883,3,Rich,40896,21,99761990
India,Tamil Nadu,3543,3,Rich,34453,20,78791545
India,Gujarat,2844,4,Poor,44950,17,40016639
India,West Bengal,601,4,Medium,43719,10,9792157
India,Telangana,1668,4,Poor,29444,12,27411744
India,West Bengal,582,2,Poor,45638,14,5239289
India,Uttar Pradesh,2625,3,Rich,28044,32,29088937
India,Telangana,322,5,Poor,30725,38,5428721
India,Rajasthan,661,2,Rich,37495,7,10826582
India,West Bengal,748,4,Poor,49231,34,7206335
India,Kerala,3862,1,Medium,4081,20,29684445
India,Gujarat,1222,2,Poor,32656,12,11578153
India,Tamil Nadu,2581,2,Medium,11805,11,34876906
India,Rajasthan,2934,3,Medium,25286,5,36741245
India,West Bengal,2479,5,Medium,39019,19,49934602
India,Telangana,2128,5,Poor,14109,39,28856748
India,Kerala,4583,1,Medium,38804,19,48899023
India,Gujarat,4921,3,Rich,17087,36,79029299
India,Gujarat,2883,2,Medium,17029,17,34859087
India,Haryana,4188,3,Poor,13693,23,39153696
India,Kerala,3274,4,Medium,49831,18,65140945
India,Tamil Nadu,4578,1,Medium,11720,17,44647842
India,Maharashtra,775,3,Poor,10518,10,23534006
India,Telangana,4556,1,Rich,46253,3,135906724
India,Punjab,2033,4,Poor,49998,8,27950374
India,West Bengal,799,5,Rich,9329,2,19528648
India,Maharashtra,3057,1,Medium,25570,18,95914313
India,Kerala,4976,5,Poor,8999,36,47443346
India,West Bengal,1003,5,Medium,44363,5,22425910
India,Gujarat,3278,1,Poor,3839,35,15808064
India,Telangana,4583,1,Medium,8710,19,58271441
India,Tamil Nadu,1731,4,Rich,38481,29,45096498
India,Gujarat,2274,4,Poor,9461,9,24694499
India,Telangana,1941,1,Poor,33972,5,20732370
India,Tamil Nadu,2943,2,Poor,19681,20,25728557
India,Maharashtra,3441,2,Poor,8927,10,96757487
India,Gujarat,1749,2,Rich,3539,13,28772653
India,Kerala,3952,3,Rich,35521,36,72922334
India,Karnataka,4779,4,Poor,17376,40,68183538
India,West Bengal,897,1,Poor,10879,33,3747420
India,Punjab,3969,1,Rich,22008,33,33919475
India,Telangana,3948,2,Medium,14140,4,85869185
India,Rajasthan,397,3,Medium,13924,38,3085181
India,Uttar Pradesh,4966,2,Poor,17994,31,20236750
India,Tamil Nadu,1391,4,Medium,31933,14,26524698
India,West Bengal,2049,4,Poor,15939,13,18534244
India,Rajasthan,4167,2,Medium,30118,1,45178476
India,Karnataka,1877,4,Rich,19658,5,86662751
India,Gujarat,2726,2,Rich,39314,18,56997800
India,Punjab,307,4,Medium,34243,40,3656205
India,West Bengal,4954,2,Poor,48657,19,45994020
India,Delhi,3224,3,Poor,1282,39,58963495
India,Haryana,912,4,Rich,18071,36,20683294
India,Telangana,2081,3,Medium,3591,8,40747676
India,Gujarat,874,5,Rich,43870,20,27940084
India,Delhi,1829,3,Medium,9438,26,60174825
India,Karnataka,2543,1,Rich,27515,33,51315083
India,West Bengal,3847,5,Poor,10587,37,32953179
India,Karnataka,3290,4,Rich,27475,8,161356169
India,Delhi,1454,4,Medium,13763,29,53770196
India,West Bengal,489,1,Medium,26556,34,3153103
India,Rajasthan,4733,2,Poor,34866,22,31322575
India,Telangana,1974,3,Rich,10122,32,39100109
India,Delhi,4878,4,Medium,2958,5,228655133
India,Haryana,4130,3,Rich,34209,24,95270780
India,West Bengal,1636,5,Poor,45333,13,24678201
India,Maharashtra,692,3,Poor,30516,14,22571596
India,Maharashtra,2754,3,Medium,18761,37,92757676
India,West Bengal,3918,3,Medium,39429,13,53311616
India,Maharashtra,723,2,Rich,48717,22,45339691
India,Rajasthan,3246,2,Poor,22778,8,24922202
India,Gujarat,3110,4,Medium,14686,18,51740604
India,Uttar Pradesh,1760,5,Medium,32655,16,22319201
India,Maharashtra,2062,1,Rich,33698,13,113830854
India,Tamil Nadu,367,4,Poor,15849,40,3533063
India,Telangana,3498,5,Rich,10277,29,116435783
India,Punjab,1885,5,Medium,31462,20,25933730
India,Tamil Nadu,2286,4,Rich,17288,8,73519453
India,Tamil Nadu,1276,2,Poor,45096,7,16480183
India,Uttar Pradesh,3959,1,Medium,46714,25,24580766
India,Telangana,1873,4,Rich,13466,3,76989646
India,Haryana,878,4,Medium,1193,23,13214724
India,Gujarat,2092,1,Rich,29369,16,29026667
India,Telangana,4678,3,Medium,20835,0,108799084
India,Maharashtra,441,3,Poor,18839,19,12950913
India,Telangana,1625,1,Rich,18543,19,30198021
India,Kerala,640,5,Poor,18087,40,6499464
India,West Bengal,4948,1,Rich,34623,20,59779271
India,Gujarat,3412,5,Poor,23207,10,42128199
India,Punjab,2474,5,Rich,45199,18,67425752
India,Uttar Pradesh,1432,4,Rich,7588,32,17007981
India,Gujarat,4915,1,Medium,14146,22,41493087
India,Gujarat,2175,2,Rich,47737,1,60497991
India,Maharashtra,719,2,Poor,33402,27,20596390
India,Maharashtra,631,2,Rich,25306,14,42028434
India,Delhi,4168,1,Poor,35610,10,90941096
India,Delhi,3489,1,Poor,41312,38,66884463
India,Tamil Nadu,3014,5,Medium,12777,28,50067097
India,Uttar Pradesh,4308,4,Medium,3282,0,42296759
India,Kerala,1536,1,Rich,10342,30,15838689
India,Uttar Pradesh,2119,5,Rich,14749,17,36058119
India,Gujarat,4320,2,Rich,37027,33,70257571
India,Karnataka,3434,3,Poor,48775,35,55995251
India,Uttar Pradesh,3661,4,Poor,12172,6,25367599
India,Uttar Pradesh,3564,4,Rich,6906,28,44594582
India,Delhi,3354,3,Poor,29797,10,94420568
India,Telangana,1229,4,Rich,27039,11,46071275
India,Tamil Nadu,2200,2,Rich,40748,29,43605687
India,Punjab,4952,4,Poor,43138,26,45448233
India,Delhi,1210,5,Medium,3169,36,49125431
India,West Bengal,3458,4,Poor,1785,8,34957092
India,Punjab,2236,5,Poor,37575,21,24894482
India,West Bengal,2652,5,Rich,11913,21,52189447
India,Gujarat,1677,5,Poor,5857,20,17059594
India,Haryana,599,3,Rich,1358,3,14302730
India,Haryana,1603,5,Poor,38772,33,23491989
India,Karnataka,3470,4,Rich,35919,21,154931338
India,Kerala,4560,5,Poor,19951,27,57842450
India,West Bengal,4030,3,Medium,2140,33,33705109
India,Haryana,4032,3,Medium,27086,27,56751083
India,Uttar Pradesh,857,2,Rich,49651,5,12749403
India,Karnataka,2967,4,Medium,30535,5,104060996
India,Kerala,1910,1,Medium,14527,22,15084514
India,Punjab,4125,1,Rich,31386,13,51329048
India,Haryana,4122,4,Poor,42862,34,50222630
India,Rajasthan,2684,1,Rich,16072,31,20964733
India,Telangana,2790,5,Poor,47092,30,54562029
India,Delhi,3720,3,Medium,37674,9,168139685
India,West Bengal,4052,3,Medium,21536,29,39168778
India,Karnataka,2611,2,Medium,37976,39,49745871
India,Gujarat,1388,4,Poor,33792,36,14714386
India,West Bengal,2067,5,Rich,8295,8,53371246
India,Tamil Nadu,2541,1,Poor,22281,13,19127746
India,Telangana,3726,3,Poor,42869,12,65771255
India,Delhi,3944,3,Rich,39010,37,203353664
India,Uttar Pradesh,2722,2,Rich,25297,15,33006738
India,Delhi,1797,5,Medium,11350,30,68300234
India,Gujarat,3251,3,Poor,37469,28,32202302
India,Gujarat,736,5,Rich,35324,18,22861006
India,Rajasthan,2684,2,Rich,16369,35,29214995
India,Tamil Nadu,1311,5,Medium,15743,14,27477159
India,Tamil Nadu,1335,2,Rich,38713,33,26734733
India,Rajasthan,1564,2,Rich,32897,17,22649161
India,Telangana,3714,2,Rich,15087,40,72396165
India,Haryana,967,3,Rich,38496,0,30135221
India,Rajasthan,4823,4,Poor,32331,17,48852234
India,Karnataka,497,4,Rich,45452,16,26997679
India,Kerala,4199,3,Rich,45760,9,104942502
India,West Bengal,534,5,Rich,30796,32,10989733
India,Punjab,3823,1,Rich,10821,8,41015100
India,Karnataka,1616,2,Poor,46968,36,23933186
India,Gujarat,1678,2,Rich,41703,13,38068189
India,Rajasthan,4372,5,Poor,3257,36,31834055
India,Delhi,4724,3,Rich,35773,32,262517416
India,Gujarat,2072,2,Rich,21360,23,37332623
India,Tamil Nadu,1239,5,Medium,17923,39,20812434
India,Maharashtra,3623,3,Rich,15562,12,214693545
India,Telangana,1973,5,Medium,3100,9,45822601
India,West Bengal,2115,2,Medium,43965,16,24838095
India,Kerala,686,1,Poor,37021,23,4851457
India,Rajasthan,3559,2,Medium,27853,0,39963425
India,Haryana,2812,4,Poor,3745,11,30604757
India,West Bengal,2522,1,Medium,31116,5,24630849
India,West Bengal,332,2,Rich,21093,11,4788396
India,Punjab,4879,5,Rich,21936,31,98202244
India,Maharashtra,3875,5,Poor,45245,3,268034949
India,Rajasthan,2957,2,Rich,32131,12,46776138
India,Gujarat,815,2,Medium,22607,8,10548527
India,Uttar Pradesh,3702,4,Medium,17616,16,35553586
India,Haryana,2709,1,Poor,33793,24,22792259
India,Karnataka,760,5,Poor,14379,30,14105006
India,Punjab,1372,4,Rich,33983,30,25089119
India,Delhi,2076,2,Medium,6939,40,50931076
India,Telangana,3293,3,Rich,45769,14,113244443
India,Kerala,2800,2,Rich,32433,12,55602578
India,Karnataka,1416,4,Medium,1492,32,25589588
India,Punjab,1846,4,Rich,45523,5,44616610
India,Tamil Nadu,1575,3,Poor,16449,11,15642979
India,Rajasthan,1169,2,Medium,31873,5,12096928
India,Karnataka,3942,5,Rich,29001,16,233234295
India,West Bengal,1229,5,Medium,19793,7,23432855
India,Tamil Nadu,4582,4,Poor,29247,21,61378119
India,Haryana,2768,2,Rich,19020,27,58643704
India,Kerala,2518,5,Poor,19601,39,28284560
India,Uttar Pradesh,3137,5,Poor,16514,28,23122280
India,Kerala,1761,3,Rich,3176,31,24481655
India,Gujarat,4206,4,Rich,36219,29,113156021
India,Maharashtra,3974,2,Poor,20149,16,119290057
India,Tamil Nadu,2303,5,Rich,2105,3,81117340
India,Maharashtra,453,5,Medium,31099,22,28094194
India,Punjab,4500,5,Rich,35681,0,130919909
India,Delhi,2260,5,Rich,13996,10,176416413
India,West Bengal,2935,2,Poor,44410,6,31053690
India,Gujarat,4947,5,Medium,5557,3,105072807
India,Tamil Nadu,2975,5,Poor,21700,7,46822128
India,Karnataka,3271,1,Poor,21954,3,44990873
India,Karnataka,1690,3,Rich,46095,35,61550743
India,Uttar Pradesh,3375,3,Medium,17673,22,23395268
